Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
166	Gold Coin	310 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 22KT Lakshmi Gold Coin 1 Gm at Amazon.in	2.6 out of 5 stars	3		₹9,898.00	-17%	8,239
167		100 g	No	Buy Kundan 100g (999.9) Lakshmi & Ganesh Silver Bar at Amazon.in	4.5 out of 5 stars	505		₹12,999.00	-21%	10,248
168		10 g	L.D Sons Jewellers Pvt Ltd	Lords Jewels Ganesh Ji 10 Gram BIS Hallmarked 999 Silver Coin : Amazon.in: Jewellery	4.5 out of 5 stars	13		₹9,999.00	-86%	1,399
169	Gold Coin	2 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 22KT Ganesha Gold Coin 2 Gm at Amazon.in				₹18,845.00	-13%	16,373
170		20 g	No	Buy Kundan 20g (999.9) Tirupati Balaji Silver Bar at Amazon.in	4.5 out of 5 stars	169		₹2,799.00	-18%	2,296
171			No	Sri Jagdamba Pearls 5 Gm, 24kt (999) Yellow Gold Coin : Amazon.in: Fashion	3.6 out of 5 stars	13				
172		10 g	L.D Sons Jewellers Pvt Ltd	Purity of Love Radha Krishna Silver Coin 999 Purity 10 Grams Precious Gift : Amazon.in: Jewellery	4.3 out of 5 stars	10		₹9,999.00	-86%	1,399
173		10 g	L.D Sons Jewellers Pvt Ltd	Purity of Love Radha Krishna Silver Coin 999 Purity 10 Grams Precious Gift : Amazon.in: Jewellery	4.3 out of 5 stars	10		₹9,999.00	-86%	1,399
174	Gold Coin	2 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 22KT Cross Gold Coin 2 Gm at Amazon.in				₹20,845.00	-21%	16,373
175	Gold Coin	2 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 22KT Cross Gold Coin 2 Gm at Amazon.in				₹20,845.00	-21%	16,373
